Sl_No,Customer,Month,Type,Amount
1,A1,12-Jan-04,JEWELLERY,485470.8
10,A10,16-Feb-05,SHOPPING,194795.88
100,A98,3-Jan-04,SHOPPING,284521.06
1000,A47,4-Apr-05,CAMERA,339582.17
1001,A48,30-Apr-06,CAMERA,99760.02
1002,A49,25-Apr-04,SHOPPING,423754.26
1003,A50,19-Apr-06,"AIR TICKET",54611.14
1004,A51,6-Apr-04,"BUS TICKET",50547.17
1005,A52,27-Apr-05,"TRAIN TICKET",384129.51
1006,A53,5-May-04,RENTAL,376349.64
1007,A54,6-May-06,"MOVIE TICKET",377756.6
1008,A55,7-May-05,JEWELLERY,274133.64
1009,A56,8-May-06,PETRO,67738.19
101,A99,15-Jan-04,"AIR TICKET",90184.22
1010,A57,9-May-05,CLOTHES,324848.19
1011,A58,10-May-06,FOOD,420015.08
1012,A59,11-Jul-06,CAMERA,397479.97
1013,A60,12-Aug-05,SANDALS,206631.21
1014,A61,13-Sep-04,CAR,110279.02
1015,A60,20-Nov-05,BIKE,230675.49
1016,A61,21-Nov-06,BIKE,332876.9
1017,A62,22-Nov-05,BIKE,32324.84
1018,A36,23-Nov-04,BIKE,348426.37
1019,A37,24-May-05,BIKE,284117.93
102,A100,25-Jan-04,"BUS TICKET",224786.88
1020,A38,25-May-05,BIKE,110111.28
1021,A39,26-May-05,BIKE,55927.32
1022,A40,27-May-05,BIKE,31688.89
1023,A41,28-May-05,BIKE,224579.57
1024,A42,29-May-05,BIKE,453314.4
1025,A43,30-May-05,BIKE,226498.33
1026,A44,31-May-05,BIKE,121469.49
1027,A45,1-Jun-05,CAMERA,491753.36
1028,A46,2-Jun-05,CAMERA,290725.04
1029,A47,3-Jun-05,CAMERA,187801.98
103,A1,12-Jan-04,"TRAIN TICKET",440563.22
1030,A48,3-Jul-05,CAMERA,332536.0
1031,A49,3-Aug-05,SHOPPING,65101.88
1032,A50,3-Sep-05,"AIR TICKET",8168.97
1033,A51,3-Oct-05,"BUS TICKET",147529.24
1034,A52,3-Nov-05,"TRAIN TICKET",83386.16
1035,A53,3-Dec-05,RENTAL,174828.97
1036,A54,3-Jan-06,"MOVIE TICKET",215987.8
1037,A55,3-Feb-06,BIKE,56497.89
1038,A56,3-Mar-06,AUTO,481580.09
1039,A57,3-Apr-06,SHOPPING,426980.66
104,A2,3-Jan-04,RENTAL,199554.72
1040,A58,3-May-06,"AIR TICKET",316601.57
1041,A59,3-Jun-06,"BUS TICKET",94838.4
1042,A60,3-Jul-06,"TRAIN TICKET",283607.25
1043,A61,3-Aug-06,RENTAL,174906.54
1044,A60,3-Sep-06,RENTAL,299701.84
1045,A61,3-Oct-06,RENTAL,460195.99
1046,A62,3-Nov-06,RENTAL,439845.09
1047,A36,3-Dec-06,RENTAL,226412.38
1048,A37,12-Jan-04,RENTAL,77900.29
1049,A38,3-Jan-04,RENTAL,85689.3
105,A3,15-Jan-04,"MOVIE TICKET",418202.62
1050,A39,15-Jan-04,RENTAL,114900.36
1051,A40,25-Jan-04,RENTAL,403947.27
1052,A41,17-Jan-05,CAMERA,450578.23
1053,A42,23-Feb-05,SHOPPING,76038.08
1054,A43,1-Feb-05,"AIR TICKET",407946.59
1055,A44,5-Feb-04,"BUS TICKET",340544.62
1056,A45,28-Feb-05,"TRAIN TICKET",228660.27
1057,A46,16-Feb-05,RENTAL,34784.32
